date,total_rev,total_vol
2010-01-04,10522971.505699972,4163635640
2010-01-05,11044922.058699975,5161067104
2010-01-06,11112404.56320003,4889434085
2010-01-07,11280652.993699996,5317840019
2010-01-08,11701905.782100031,4511649556
2010-01-11,11871185.55160003,4504713590
2010-01-12,11197062.082499966,5154873200
2010-01-13,11079500.817800004,4638508100
2010-01-14,11264235.055400006,4525011320
2010-01-15,11045249.349000035,5326494790
2010-01-19,10810764.17409998,4455244090
2010-01-20,10613345.522000035,5154852360
2010-01-21,10584397.936900035,6953202260
2010-01-22,10431377.65799995,6594701740
2010-01-25,10512741.658400018,4784772600
2010-01-26,10341649.60769997,5160239520
2010-01-27,10228376.648500007,5609592630
2010-01-28,10246440.909199968,6346323910
2010-01-29,10134050.33420001,6444461230
2010-02-01,9865253.779799996,4719126590
2010-02-02,9997637.06709998,5406887594
2010-02-03,9946089.322899997,4904696190
2010-02-04,9689849.635300016,6425786994
2010-02-05,9436539.649300033,6876319260
2010-02-08,9337080.98339997,4699244000
2010-02-09,9337645.593699979,5384451790
2010-02-10,9186207.288999988,4734157174
2010-02-11,9481136.028099999,4939265300
2010-02-12,9347921.034899987,5216907920
2010-02-16,9733859.067300016,4530806230
2010-02-17,9818801.534200026,4550353630
2010-02-18,9617421.109200025,4385623820
2010-02-19,9772562.298800021,4474566380
2010-02-22,9841315.214599973,4175661270
2010-02-23,9672780.044300012,4814215610
2010-02-24,9437253.870699966,4489280790
2010-02-25,9873143.96190006,4996561600
2010-02-26,9723599.625000061,4859552360
2010-03-01,9509098.459000016,4620498290
2010-03-02,9376899.671099974,5064446460
2010-03-03,9630380.844099998,4649615880
2010-03-04,9697622.209100053,4388100300
2010-03-05,9749066.629000043,4648815880
2010-03-08,10589802.27090003,4183848920
2010-03-09,10521431.24660003,5096354600
2010-03-10,10673200.200700026,5033146600
2010-03-11,10807133.858799988,4358883000
2010-03-12,10875210.96819998,4441612800
2010-03-15,10471269.960900024,4242506750
2010-03-16,10286360.571500013,4697200040
2010-03-17,10371042.848000037,4927432560
2010-03-18,10235870.343800047,4495924290
2010-03-19,10085353.365200015,6150036700
2010-03-22,9932722.25779999,4718386576
2010-03-23,10168380.734500047,4711568400
2010-03-24,10117182.92940002,5043017840
2010-03-25,10201951.127600051,5613272550
2010-03-26,10016456.581699993,4875881110
2010-03-29,10184420.930099994,4095425800
2010-03-30,10268547.832999965,4171430330
2010-03-31,10167187.263800025,5022542680
2010-04-01,10437092.409500007,4540224190
2010-04-05,10656356.027900003,4224801620
2010-04-06,11109034.962999988,4433533580
2010-04-07,11058332.071699996,5634678100
2010-04-08,10871481.184300017,4964969690
2010-04-09,11293929.651000027,4388696890
2010-04-12,11580643.02050004,4172846760
2010-04-13,11126424.14720002,5056666750
2010-04-14,11480954.1434,5918428504
2010-04-15,11682892.215600016,5580030996
2010-04-16,11378985.95700004,7299667200
2010-04-19,10856138.001099989,5338721800
2010-04-20,11126359.113399986,4917864400
2010-04-21,10941775.671199994,5661520260
2010-04-22,10453242.692500034,5986525660
2010-04-23,10673315.594899995,5355795836
2010-04-26,10758398.054800067,5147903700
2010-04-27,10806743.198900035,6817024300
2010-04-28,10401100.108100053,6139984800
2010-04-29,10385913.153700007,6393716884
2010-04-30,10269086.323100058,6306762290
2010-05-03,10504180.415800039,5120130760
2010-05-04,10233292.259700004,6728370560
2010-05-05,9994993.93070001,6704049096
2010-05-06,9659611.312200041,10264341836
2010-05-07,9200594.291600024,9747231100
2010-05-10,9407716.057200033,6867224000
2010-05-11,9425404.22229997,5909543020
2010-05-12,9627744.784600014,5306747010
2010-05-13,9661238.086099982,5063289510
2010-05-14,9153958.535200039,6082584400
2010-05-17,8950862.811699994,5645285650
2010-05-18,9086505.022100007,6030279450
2010-05-19,8612131.456600005,6686198080
2010-05-20,8254473.0975999925,8338939296
2010-05-21,8202026.109699983,7965199304
2010-05-24,8301411.075400018,5173511940
2010-05-25,7961537.258900019,7462067804
2010-05-26,8316937.1259000255,7152491200
2010-05-27,8354605.5804999815,5639439900
2010-05-28,8420977.295300031,5145609580
2010-06-01,8166695.3524,5312439470
2010-06-02,7847698.000499995,5153985530
2010-06-03,7933085.652800025,4895486030
2010-06-04,7728077.031100014,5989940500
2010-06-07,7676328.610900007,5428590090
2010-06-08,7392223.494200002,6331715370
2010-06-09,7141849.588800018,5866440500
2010-06-10,7059323.554399991,5320178810
2010-06-11,7228787.485800015,4333480180
2010-06-14,7416494.804600027,4666548470
2010-06-15,7402668.8225000175,5023885330
2010-06-16,7588021.429100007,4768630450
2010-06-17,7288102.885099988,4368853890
2010-06-18,7104288.499700021,4749759100
2010-06-21,7055731.89830004,4479031730
2010-06-22,6936785.846299997,4582542450
2010-06-23,6917866.687300013,4784060840
2010-06-24,6866667.718400004,5044959140
2010-06-25,6836269.030500026,8604407080
2010-06-28,6920134.854,4154500390
2010-06-29,6615951.839600018,6532576286
2010-06-30,6429578.532600014,5511462470
2010-07-01,6174982.9356999975,6612774300
2010-07-02,6039137.397200013,4111551480
2010-07-06,6308206.716200017,5094851370
2010-07-07,6259208.899800028,5284969690
2010-07-08,6461613.1003000215,4892163550
2010-07-09,6781817.748000008,3659268670
2010-07-12,6865913.938600016,3865737760
2010-07-13,6833946.669300012,4983785200
2010-07-14,7136231.772599993,4519201580
2010-07-15,7102691.446999997,4683746200
2010-07-16,7151646.214799981,5506869460
2010-07-19,7097575.832499992,4245162550
2010-07-20,7200123.827100004,4920919160
2010-07-21,7335282.309400009,5229024290
2010-07-22,7402813.749900034,5329165430
2010-07-23,7891807.5758000165,5215031590
2010-07-26,8179290.093699985,4640957040
2010-07-27,8263164.519700027,4955574120
2010-07-28,8026798.858900015,4402538200
2010-07-29,8161639.462100028,5214817634
2010-07-30,7891898.560100019,4724071480
2010-08-02,8029688.847800036,4642517330
2010-08-03,8113748.082900032,4670890310
2010-08-04,8249578.203199997,4401566184
2010-08-05,8384107.138700041,3998107740
2010-08-06,8534430.812000029,4204212280
2010-08-09,8602538.413600042,3534388820
2010-08-10,8584559.63019998,4427154950
2010-08-11,8177604.379200012,4994022070
2010-08-12,7804559.607700002,4622612700
2010-08-13,7955888.825999998,3701701480
2010-08-16,7770814.990800011,3489720020
2010-08-17,7974973.865200019,4167159780
2010-08-18,8010454.342299995,3909622430
2010-08-19,7958196.726500012,4547428920
2010-08-20,7619977.571900014,4076302170
2010-08-23,7620316.0504,3752102990
2010-08-24,7265107.483499992,4939780770
2010-08-25,7012192.57520002,4799018120
2010-08-26,7113461.469100004,4056662480
2010-08-27,7099859.690300005,4523999530
2010-08-30,7234482.520000018,3306891560
2010-08-31,7082962.902100005,4648913870
2010-09-01,7658725.325000018,4844022940
2010-09-02,7693445.705900005,3819105980
2010-09-03,7863066.497400039,3752126860
2010-09-07,7475859.075700021,3659590980
2010-09-08,7425636.9958999725,3970142170
2010-09-09,7393497.010700037,3684555770
2010-09-10,7191995.283699991,3487485910
2010-09-13,7311627.1968000205,4168112510
2010-09-14,7228133.422800023,4274338030
2010-09-15,7160726.074700009,3926053990
2010-09-16,7211027.080000024,3831097940
2010-09-17,7246020.398300017,5130363580
2010-09-20,7195768.914500005,4202989330
2010-09-21,7347323.601300018,4755773450
2010-09-22,7262954.580500012,4474554210
2010-09-23,7244247.656200011,4304117020
2010-09-24,7199374.500600023,4526462140
2010-09-27,7835132.4215000365,3872330840
2010-09-28,8607742.972899988,4497266950
2010-09-29,8439898.475800015,4321646690
2010-09-30,8491511.91280005,5024411060
2010-10-01,8440791.323500022,4263441842
2010-10-04,8321701.396299992,3953418270
2010-10-05,8189528.340700012,5048997910
2010-10-06,8155809.022200036,4389504380
2010-10-07,8039071.2663000235,4031767870
2010-10-08,8105604.659100008,4302431744
2010-10-11,8156238.036600012,3119341370
2010-10-12,7954727.37759999,4119438980
2010-10-13,8275672.266600039,5074764300
2010-10-14,8158760.33440001,4866055880
2010-10-15,8309994.137500027,5776652200
2010-10-18,7955718.615800012,4322600240
2010-10-19,7686217.288500007,5671517440
2010-10-20,7433967.152100012,5207426030
2010-10-21,7552635.4071999965,5155967810
2010-10-22,7434290.688700001,3570437080
2010-10-25,7536707.43950005,4175061040
2010-10-26,7400709.1327999905,4389207270
2010-10-27,7330843.377900002,4673480960
2010-10-28,7330200.096800007,4703650454
2010-10-29,7244618.4991,4292885280
2010-11-01,7213355.523699994,4060190360
2010-11-02,7229418.0117000155,4103008830
2010-11-03,7281531.245300012,4994215030
2010-11-04,7588112.200600013,6072532710
2010-11-05,8228025.056400043,5389367300
2010-11-08,8512546.545800019,4209887930
2010-11-09,9049722.01819997,4999725220
2010-11-10,8964952.964599986,4837326300
2010-11-11,9703394.265399992,4746967760
2010-11-12,9634794.843100032,4672279220
2010-11-15,9584206.624800058,3918420480
2010-11-16,9447274.40150001,5589350540
2010-11-17,9312443.504400006,4206270700
2010-11-18,9953119.491499983,5035329048
2010-11-19,9566480.66050004,4127560046
2010-11-22,9532306.741700046,3963680840
2010-11-23,9177590.873599963,4322066940
2010-11-24,9145722.647600003,3485051090
2010-11-26,8976545.427899992,1488348770
2010-11-29,9211721.429700023,3874685250
2010-11-30,9111789.97049996,5230380410
2010-12-01,9181055.379699988,4889996200
2010-12-02,9182296.703199975,5100215960
2010-12-03,10190379.140400015,4088286600
2010-12-06,10929990.068600003,3772440250
2010-12-07,10914689.53170002,4849804860
2010-12-08,10610760.973700028,4362958330
2010-12-09,10442731.825900001,4519836530
2010-12-10,10963832.877599997,4271892260
2010-12-13,11048614.354699984,4424337300
2010-12-14,10880011.170100017,4252221360
2010-12-15,10744807.438299967,4507791660
2010-12-16,10441781.601000013,4360668130
2010-12-17,10324795.003199963,5691741730
2010-12-20,10325239.451500038,3705180430
2010-12-21,10276277.023799988,3695748140
2010-12-22,10327140.077199977,3726085850
2010-12-23,10292532.288399955,2733228340
2010-12-27,10208616.175300023,2163779860
2010-12-28,9671175.940600013,2401444950
2010-12-29,9536553.065499999,2298155900
2010-12-30,9435671.122100024,2135844620
2010-12-31,9604345.251700023,2100075820
2011-01-03,9269938.531700065,4518637590
2011-01-04,9387146.733499954,5021473320
2011-01-05,9337202.734200014,4810688760
2011-01-06,9656760.082399981,5009478360
2011-01-07,9488079.506199937,5136948020
2011-01-10,9301539.414200023,4407498090
2011-01-11,9420127.612699928,4357517040
2011-01-12,9656888.01679999,4329719210
2011-01-13,9556445.368799966,4438586520
2011-01-14,9473723.497800004,4595633200
2011-01-18,9373897.107099984,4526738800
2011-01-19,9120997.41189999,4885740578
2011-01-20,8816329.814399954,5280285440
2011-01-21,8833018.378300013,4858248470
2011-01-24,8617700.744599994,4286901770
2011-01-25,8230451.14930003,4803895760
2011-01-26,8517034.922999999,4824670130
2011-01-27,8500360.34629996,4730353450
2011-01-28,8668395.953099951,5863447300
2011-01-31,8514912.145300008,4654925440
2011-02-01,8467512.353100037,5318474210
2011-02-02,8720591.723099992,4471899560
2011-02-03,8770367.79319997,4552078240
2011-02-04,8803814.678600017,4283788880
2011-02-07,8788783.364199989,4154746530
2011-02-08,8957361.941499978,4047375860
2011-02-09,8928293.354999997,4303138730
2011-02-10,8760748.548800025,4953380580
2011-02-11,8778888.062100008,4576618570
2011-02-14,8948476.648500009,3941508350
2011-02-15,8948381.643799992,4263591590
2011-02-16,8948604.578600025,4392301640
2011-02-17,8831819.091499964,4025726600
2011-02-18,8799281.487899996,4223640520
2011-02-22,8595723.388399987,5407381470
2011-02-23,8390730.06800002,5767263400
2011-02-24,8474830.526600003,5182987480
2011-02-25,8528480.052399978,4104063100
2011-02-28,8566635.32780002,4300067360
2011-03-01,8750828.565199986,4958346840
2011-03-02,8713085.2985,4347302660
2011-03-03,8817157.443199983,4604126280
2011-03-04,8766364.486799976,4311692690
2011-03-07,8698487.391100023,4559223370
2011-03-08,8530525.084400013,4461553710
2011-03-09,8496529.0074,4101469100
2011-03-10,8308977.763900014,5142238150
2011-03-11,8207686.136600012,4106045440
2011-03-14,8474927.909999987,4299379720
2011-03-15,8101926.16220004,5577314430
2011-03-16,8135198.185100035,6115192457
2011-03-17,7967680.770700018,4546901450
2011-03-18,7953452.535000008,5805913840
2011-03-21,8107197.674999985,4336479890
2011-03-22,8191416.547700003,3811609820
2011-03-23,8039896.981800007,4025372190
2011-03-24,8443481.618100017,4209246260
2011-03-25,8528354.129499994,3853285320
2011-03-28,8680207.516900014,3442157690
2011-03-29,8662630.219100002,3695187030
2011-03-30,8647864.83130005,3990829030
2011-03-31,8848207.37110002,4198312800
2011-04-01,8647200.680800004,4342232510
2011-04-04,8328593.840800011,3517941230
2011-04-05,8277317.708900016,4104185120
2011-04-06,8680109.57400002,4246018690
2011-04-07,8679897.756199982,4073320700
2011-04-08,8814179.191999992,3774369590
2011-04-11,8780082.98449996,3723786170
2011-04-12,8391598.84500001,4374520620
2011-04-13,8390772.686400007,4015729060
2011-04-14,8203655.951299994,4037868560
2011-04-15,8221579.520599999,4261893790
2011-04-18,8134599.755400008,4470254680
2011-04-19,8101575.016400029,4010393600
2011-04-20,8105004.675300017,4763201450
2011-04-21,8123129.014500015,4102504790
2011-04-25,8123052.0061000325,3218289740
2011-04-26,8343500.013200018,4432307350
2011-04-27,8343552.808300024,4486422420
2011-04-28,8293773.952500013,4352576900
2011-04-29,8210855.772500025,4744358030
2011-05-02,8192435.207400009,4213306330
2011-05-03,8090399.009300023,4987443320
2011-05-04,8022478.788499997,5144571970
2011-05-05,7985502.227300021,5263225300
2011-05-06,8020267.486600035,4901525600
2011-05-09,7986209.196800008,3491955800
2011-05-10,8171771.721099975,4046468400
2011-05-11,8171286.732500016,4532614922
2011-05-12,8170414.38190003,4506635100
2011-05-13,8137018.566400015,4042872400
2011-05-16,7630866.824499997,4210295500
2011-05-17,7107460.304700013,4681125100
2011-05-18,7175713.60970003,4008390900
2011-05-19,7143029.790000026,3823762800
2011-05-20,6873087.040500016,4048419300
2011-05-23,6617621.336999998,3832842300
2011-05-24,6634562.395899999,4049497600
2011-05-25,6618199.877300003,4263856200
2011-05-26,6619161.5951000145,3938253800
2011-05-27,6552503.281600034,3224822000
2011-05-31,7075505.754500016,5063777800
2011-06-01,7074515.84310003,5141345500
2011-06-02,6869664.237600025,4330229600
2011-06-03,7371303.215699999,4247053000
2011-06-06,7251364.147000024,4242566300
2011-06-07,6948140.111299981,4169755900
2011-06-08,6712121.380799994,4734521500
2011-06-09,6662025.9357999945,3929352900
2011-06-10,6576094.7264999775,4519081300
2011-06-13,6726750.721199982,4200895200
2011-06-14,6880673.113100009,4157827300
2011-06-15,6811011.400600021,4852291800
2011-06-16,6811356.925900012,4663280600
2011-06-17,6913102.45489999,5202377800
2011-06-20,6930161.544000003,3538239000
2011-06-21,7082980.731900033,4186226900
2011-06-22,7149795.835500044,3756909600
2011-06-23,7030245.648200035,5030799000
2011-06-24,7063920.776100012,6272276900
2011-06-27,7031245.059600031,3819178500
2011-06-28,7049425.462600023,3847021200
2011-06-29,7219034.244299996,4392509300
2011-06-30,7320993.869499992,4387394300
2011-07-01,7525027.058100005,3876525600
2011-07-05,7525165.069000016,3668952600
2011-07-06,7238985.773700001,3752048700
2011-07-07,7341861.569700019,4262569000
2011-07-08,7188166.138500036,3727762800
2011-07-11,7118821.404200002,4112514200
2011-07-12,7017948.794000023,4566325200
2011-07-13,7086746.963799987,4314476500
2011-07-14,7119639.115200033,4619096500
2011-07-15,7084486.716100018,4692757200
2011-07-18,6981670.7541000275,4305794900
2011-07-19,7000872.751200019,4607768500
2011-07-20,7103245.000600009,4079042600
2011-07-21,7088476.525399997,5257569600
2011-07-22,6953828.884700007,3778829800
2011-07-25,6838398.345500026,3822842600
2011-07-26,6669087.247100015,4200644100
2011-07-27,6666289.0773999905,5424553900
2011-07-28,6681797.3510000035,5133423800
2011-07-29,6596219.739200018,5375559300
2011-08-01,6715679.230600013,5186514600
2011-08-02,6696111.723400005,6059161400
2011-08-03,6272864.267299997,6433699100
2011-08-04,5850147.235000015,8322694700
2011-08-05,5560721.254500021,9715683600
2011-08-08,4763636.956899972,11092414700
2011-08-09,4581723.278000005,10323790200
2011-08-10,4628792.094300001,9470121200
2011-08-11,4682812.718599999,8229676900
2011-08-12,4868115.73170001,5751520400
2011-08-15,5507613.105399987,5132701600
2011-08-16,5388969.927399994,5125757200
2011-08-17,5508389.735400009,4404597300
2011-08-18,5231958.3271000115,7251357600
2011-08-19,5196745.04900001,6181838100
2011-08-22,4993698.919600013,5386061700
2011-08-23,4691766.80760002,5938148800
2011-08-24,4728308.024400013,5310024400
2011-08-25,4780500.054600013,5753736300
2011-08-26,4913045.475199993,4907614600
2011-08-29,5456450.046500019,4135307800
2011-08-30,5860937.963400012,4600221000
2011-08-31,5492847.762100025,5277766800
2011-09-01,5424182.072000007,4771442600
2011-09-02,5316499.37220002,4331415400
2011-09-06,5026143.349200022,4904583900
2011-09-07,5249563.094900011,4472450200
2011-09-08,5316596.280600031,4594752000
2011-09-09,5313255.847500008,5553833900
2011-09-12,5093295.311600024,5219986100
2011-09-13,5396784.507900023,4737760900
2011-09-14,5685025.368499994,5339186100
2011-09-15,5687117.516799965,4683165500
2011-09-16,5671938.5965000065,6030474000
2011-09-19,5600489.9849000145,4479755400
2011-09-20,5652463.412699971,4515444800
2011-09-21,5548606.831000018,5684137500
2011-09-22,4851298.930400011,8044723700
2011-09-23,4782996.42000003,5845426800
2011-09-26,4775152.652500007,5440915100
2011-09-27,4915402.4408,5536848400
2011-09-28,4759727.960000019,4950938000
2011-09-29,4641734.0612000115,5611500200
2011-09-30,4370423.068299998,5422931500
2011-10-03,4100525.4145000107,6693459900
2011-10-04,3563562.6848000055,7931716800
2011-10-05,3867168.096900005,5929280400
2011-10-06,4272100.197000017,5822220600
2011-10-07,4289534.865700009,5604775700
2011-10-10,4274621.94780001,4384653600
2011-10-11,4375966.452099991,4461540500
2011-10-12,4699847.7308000345,5415288300
2011-10-13,4714914.185700018,4429188500
2011-10-14,4834335.613300033,4244947900
2011-10-17,4749824.779800006,4279834300
2011-10-18,4734666.323200014,5578228700
2011-10-19,4785729.756999982,4998250700
2011-10-20,4566285.199700013,5038280600
2011-10-21,4654324.4648999935,5345252700
2011-10-24,4790761.567900006,4916561200
2011-10-25,4739117.493700025,4986119700
2011-10-26,4623960.884199985,5431837621
2011-10-27,4917334.751500018,7612520600
2011-10-28,5135022.475200008,4988119324
2011-10-31,4931531.109000014,4823541800
2011-11-01,4755716.859299999,6471133300
2011-11-02,4858840.843800017,4759575000
2011-11-03,4845163.355700045,5396077100
2011-11-04,4876753.536700012,4450268600
2011-11-07,4976156.76670002,4163944200
2011-11-08,5247375.08180001,4517722700
2011-11-09,5142927.151700012,5421928700
2011-11-10,5057995.347400024,4632631100
2011-11-11,5177476.397300015,3907570100
2011-11-14,5159902.326499996,3672923000
2011-11-15,5075772.639700011,4107844200
2011-11-16,5007993.600400011,4716219500
2011-11-17,4905413.196499998,5349419900
2011-11-18,4635714.338100015,4286320200
2011-11-21,4397721.786399998,4859155600
2011-11-22,4229718.414700006,4404187700
2011-11-23,4024694.3760000053,4340441400
2011-11-25,3922725.5213000053,1904645800
2011-11-28,4145803.511400011,4355728300
2011-11-29,4044806.6433000127,4237100600
2011-11-30,4052334.7653000136,6464071800
2011-12-01,4437576.864300033,4352991400
2011-12-02,4574108.573700021,4544469300
2011-12-05,4473759.635400005,4529313700
2011-12-06,4490103.1582999965,3967336100
2011-12-07,4473262.02410001,4366205100
2011-12-08,4437246.406000004,4590208700
2011-12-09,4269680.728300015,4126315500
2011-12-12,4199983.957099998,4081257700
2011-12-13,4117478.9247000176,4575837100
2011-12-14,3910925.9529000064,4698552200
2011-12-15,3895094.9835000117,4249973900
2011-12-16,3876858.3117000153,6207531700
2011-12-19,3792556.060300015,4080730900
2011-12-20,3710691.541300012,4650007600
2011-12-21,3727194.2100000023,4221624900
2011-12-22,3913598.752799999,3900739000
2011-12-23,3999185.1242000107,2490259600
2011-12-27,3831697.719700023,2319223700
2011-12-28,3695882.422100012,2688809200
2011-12-29,3661416.278000015,2583985100
2011-12-30,3611044.338400015,2490031800
